# cid2code.txt (Beta Version 2018-05-15)
#
# The data in this table contains four tab-delimited columns of
# information. The contents of this file supplement "The Adobe-KR-9
# Character Collection":
#
# https://github.com/adobe-type-tools/Adobe-KR/
#
# This table contains lists CIDs 0 through 22875 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded
# value. Here are some common aspects of the data that you will find
# in this table:
#
# o All character codes are provided in hexadecimal notation.
#
# o There are cases of multiple code points mapping to the same CID
#   within a single CMap resource. These cases are comma-delimited
#   within the same column.
#
# The following is a synopsis of columns 2 through 4, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "UniAKR-UTF8-H" CMap resource
#   (Unicode Version 10.0 UTF-8 encoding).
#
# o Column 3: Character codes for the "UniAKR-UTF16-H" CMap resource
#   (Unicode Version 10.0 UTF-16 encoding).
#
# o Column 4: Character codes for the "UniAKR-UTF32-H" CMap resource
#   (Unicode Version 10.0 UTF-32 encoding).
#
CID	UniAKR-UTF8	UniAKR-UTF16	UniAKR-UTF32
511	eabf8e	afce	0000afce
512	eabf8f	afcf	0000afcf
513	eabf94	afd4	0000afd4
514	eabf98	afd8	0000afd8
515	eabf9c	afdc	0000afdc
516	eabfa8	afe8	0000afe8
517	eabfa9	afe9	0000afe9
518	eabfb0	aff0	0000aff0
519	eabfb1	aff1	0000aff1
520	eabfb4	aff4	0000aff4
521	eabfb8	aff8	0000aff8
522	eb8080	b000	0000b000
523	eb8081	b001	0000b001
524	eb8084	b004	0000b004
525	eb808c	b00c	0000b00c
526	eb8090	b010	0000b010
527	eb8094	b014	0000b014
528	eb809c	b01c	0000b01c
529	eb809d	b01d	0000b01d
530	eb80a8	b028	0000b028
531	eb80b0	b030	0000b030
532	eb80bc	b03c	0000b03c
533	eb8184	b044	0000b044
534	eb8185	b045	0000b045
535	eb8188	b048	0000b048
536	eb818a	b04a	0000b04a
537	eb818c	b04c	0000b04c
538	eb818e	b04e	0000b04e
539	eb8193	b053	0000b053
540	eb8194	b054	0000b054
541	eb8195	b055	0000b055
542	eb8197	b057	0000b057
543	eb8199	b059	0000b059
544	eb819d	b05d	0000b05d
545	eb81a0	b060	0000b060
546	eb81a4	b064	0000b064
547	eb81bc	b07c	0000b07c
548	eb81bd	b07d	0000b07d
549	eb8280	b080	0000b080
550	eb8284	b084	0000b084
551	eb828c	b08c	0000b08c
552	eb828d	b08d	0000b08d
553	eb828f	b08f	0000b08f
554	eb8290	b090	0000b090
555	eb8291	b091	0000b091
556	eb8298	b098	0000b098
557	eb8299	b099	0000b099
558	eb829a	b09a	0000b09a
559	eb829c	b09c	0000b09c
560	eb829f	b09f	0000b09f
561	eb82a0	b0a0	0000b0a0
562	eb82a1	b0a1	0000b0a1
563	eb82a2	b0a2	0000b0a2
564	eb82a8	b0a8	0000b0a8
565	eb82a9	b0a9	0000b0a9
566	eb82ab	b0ab	0000b0ab
567	eb82ac	b0ac	0000b0ac
568	eb82ad	b0ad	0000b0ad
569	eb82ae	b0ae	0000b0ae
570	eb82af	b0af	0000b0af
571	eb82b1	b0b1	0000b0b1
572	eb82b3	b0b3	0000b0b3
573	eb82b4	b0b4	0000b0b4
574	eb82b5	b0b5	0000b0b5
575	eb82b8	b0b8	0000b0b8
576	eb82bb	b0bb	0000b0bb
577	eb82bc	b0bc	0000b0bc
578	eb8384	b0c4	0000b0c4
579	eb8385	b0c5	0000b0c5
580	eb8387	b0c7	0000b0c7
581	eb8388	b0c8	0000b0c8
582	eb8389	b0c9	0000b0c9
583	eb8390	b0d0	0000b0d0
584	eb8391	b0d1	0000b0d1
585	eb8394	b0d4	0000b0d4
586	eb8397	b0d7	0000b0d7
587	eb8398	b0d8	0000b0d8
588	eb83a0	b0e0	0000b0e0
589	eb83a1	b0e1	0000b0e1
590	eb83a3	b0e3	0000b0e3
591	eb83a5	b0e5	0000b0e5
592	eb83ac	b0ec	0000b0ec
593	eb8488	b108	0000b108
594	eb8489	b109	0000b109
595	eb848b	b10b	0000b10b
596	eb848c	b10c	0000b10c
597	eb848f	b10f	0000b10f
598	eb8490	b110	0000b110
599	eb8491	b111	0000b111
600	eb8492	b112	0000b112
601	eb8493	b113	0000b113
602	eb8498	b118	0000b118
603	eb8499	b119	0000b119
604	eb849b	b11b	0000b11b
605	eb849c	b11c	0000b11c
606	eb849d	b11d	0000b11d
607	eb84a2	b122	0000b122
608	eb84a3	b123	0000b123
609	eb84a4	b124	0000b124
610	eb84a5	b125	0000b125
611	eb84a8	b128	0000b128
612	eb84ab	b12b	0000b12b
613	eb84ac	b12c	0000b12c
614	eb84b4	b134	0000b134
615	eb84b5	b135	0000b135
616	eb84b7	b137	0000b137
617	eb84b8	b138	0000b138
618	eb84b9	b139	0000b139
619	eb84be	b13e	0000b13e
620	eb8580	b140	0000b140
621	eb8581	b141	0000b141
622	eb8584	b144	0000b144
623	eb8587	b147	0000b147
624	eb8588	b148	0000b148
625	eb8590	b150	0000b150
626	eb8591	b151	0000b151
627	eb8594	b154	0000b154
628	eb8595	b155	0000b155
629	eb8598	b158	0000b158
630	eb859c	b15c	0000b15c
631	eb85a0	b160	0000b160
632	eb85b1	b171	0000b171
633	eb85b8	b178	0000b178
634	eb85b9	b179	0000b179
635	eb85bc	b17c	0000b17c
636	eb8680	b180	0000b180
637	eb8681	b181	0000b181
638	eb8682	b182	0000b182
639	eb8688	b188	0000b188
640	eb8689	b189	0000b189
641	eb868b	b18b	0000b18b
642	eb868d	b18d	0000b18d
643	eb8691	b191	0000b191
644	eb8692	b192	0000b192
645	eb8693	b193	0000b193
646	eb8694	b194	0000b194
647	eb8698	b198	0000b198
648	eb869c	b19c	0000b19c
649	eb86a5	b1a5	0000b1a5
650	eb86a8	b1a8	0000b1a8
651	eb86b0	b1b0	0000b1b0
652	eb8784	b1c4	0000b1c4
653	eb878c	b1cc	0000b1cc
654	eb878d	b1cd	0000b1cd
655	eb8790	b1d0	0000b1d0
656	eb8794	b1d4	0000b1d4
657	eb879c	b1dc	0000b1dc
658	eb879d	b1dd	0000b1dd
659	eb879f	b1df	0000b1df
660	eb87a1	b1e1	0000b1e1
661	eb87a8	b1e8	0000b1e8
662	eb87a9	b1e9	0000b1e9
663	eb87ac	b1ec	0000b1ec
664	eb87b0	b1f0	0000b1f0
665	eb87b8	b1f8	0000b1f8
666	eb87b9	b1f9	0000b1f9
667	eb87bb	b1fb	0000b1fb
668	eb87bd	b1fd	0000b1fd
669	eb8884	b204	0000b204
670	eb8885	b205	0000b205
671	eb8888	b208	0000b208
672	eb888b	b20b	0000b20b
673	eb888c	b20c	0000b20c
674	eb888d	b20d	0000b20d
675	eb8894	b214	0000b214
676	eb8895	b215	0000b215
677	eb8897	b217	0000b217
678	eb8899	b219	0000b219
679	eb889d	b21d	0000b21d
680	eb88a0	b220	0000b220
681	eb88b4	b234	0000b234
682	eb88bc	b23c	0000b23c
683	eb8998	b258	0000b258
684	eb899c	b25c	0000b25c
685	eb89a0	b260	0000b260
686	eb89a8	b268	0000b268
687	eb89a9	b269	0000b269
688	eb89b4	b274	0000b274
